 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

5e-05	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0001	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00015	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0002	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00025	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0003	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00035	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0004	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00045	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0005	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00055	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0006	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00065	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0007	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00075	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0008	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00085	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0009	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00095	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.001	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00105	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0011	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00115	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0012	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00125	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0013	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00135	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0014	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00145	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0015	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00155	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0016	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00165	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0017	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00175	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0018	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00185	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0019	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00195	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.002	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00205	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0021	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00215	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0022	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00225	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0023	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00235	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0024	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00245	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0025	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00255	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0026	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00265	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0027	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00275	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0028	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00285	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0029	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00295	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.003	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00305	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0031	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00315	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0032	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00325	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0033	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00335	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0034	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00345	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0035	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00355	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0036	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00365	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0037	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00375	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0038	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00385	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0039	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00395	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.004	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00405	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0041	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00415	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0042	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00425	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0043	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00435	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0044	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00445	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0045	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00455	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0046	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00465	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0047	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00475	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0048	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00485	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.0049	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.00495	10.4444	2	0	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.1608e-12	3.34353	3.71154	1.36794	

0.005	10.4444	0	-0.03	-0.01	-24.8595	1.21775	-1.01968	-32.7364	0.0151235	-44.1823	2.25153e-12	3.34297	3.71099	1.36794	

0.00505	10.4444	0	-0.03	-0.01	-24.8595	1.21775	-1.01968	-32.7364	0.0151235	-44.1823	2.25153e-12	3.34297	3.71099	1.36794	

0.0051	10.4444	0	-0.03	-0.01	-24.8595	1.21775	-1.01968	-32.7364	0.0151235	-44.1823	2.25153e-12	3.34297	3.71099	1.36794	

0.00515	10.4444	0	-0.03	-0.01	-24.8595	1.21775	-1.01968	-32.7364	0.0151235	-44.1823	2.25153e-12	3.34297	3.71099	1.36794	

0.0052	10.4444	0	-0.03	-0.01	-24.8595	1.21775	-1.01968	-32.7364	0.0151235	-44.1823	2.25153e-12	3.34297	3.71099	1.36794	

