 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

2e-05	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

4e-05	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

6e-05	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

8e-05	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0001	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00012	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00014	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00016	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00018	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0002	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00022	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00024	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00026	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00028	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0003	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00032	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00034	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00036	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00038	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0004	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00042	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00044	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00046	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00048	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0005	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00052	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00054	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00056	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00058	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0006	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00062	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00064	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00066	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00068	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0007	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00072	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00074	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00076	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00078	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0008	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00082	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00084	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00086	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00088	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.0009	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00092	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00094	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00096	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00098	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.001	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00102	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00104	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

0.00106	9.11224	0	0.5	1	-31.3338	0.901365	-0.177273	-29.9388	4.24064	-30.3451	1000	3.05165	3.09329	1.04123	

