 	density	u_1	u_2	u_3	sigma_11	sigma_12	sigma_13	sigma_22	sigma_23	sigma_33	I1	I2	I3	dI_1	dI_2	dI_3
0	10.4444	2	-1.38179e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.50015e-06	3.34353	3.71154	1.36794	

5e-05	10.4444	2	-2.37339e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-2.46076e-06	3.34353	3.71154	1.36794	

0.0001	10.4444	2	-4.86804e-11	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-4.48454e-06	3.34353	3.71154	1.36794	

0.00015	10.4444	2	-1.00656e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-8.55157e-06	3.34353	3.71154	1.36794	

0.0002	10.4444	2	-2.04981e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-1.68546e-05	3.34353	3.71154	1.36794	

0.00025	10.4444	2	-4.13533e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-3.36895e-05	3.34353	3.71154	1.36794	

0.0003	10.4444	2	-8.30653e-10	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-6.75103e-05	3.34353	3.71154	1.36794	

0.00035	10.4444	2	-1.66448e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000135071	3.34353	3.71154	1.36794	

0.0004	10.4444	2	-3.32879e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000269639	3.34353	3.71154	1.36794	

0.00045	10.4444	2	-6.64476e-09	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.000537206	3.34353	3.71154	1.36794	

0.0005	10.4444	2	-1.32402e-08	0.1	-24.9244	-0.75146	-1.49093	-32.8305	2.21533	-44.3547	-0.00106839	3.34353	3.71154	1.36794	

0.00055	10.4444	2	-2.63379e-08	0.0999999	-24.9244	-0.751461	-1.49093	-32.8305	2.21533	-44.3547	-0.00212139	3.34353	3.71154	1.36794	

0.0006	10.4445	2	-5.23105e-08	0.0999998	-24.9245	-0.751463	-1.49094	-32.8306	2.21533	-44.3548	-0.00420615	3.34353	3.71154	1.36794	

0.00065	10.4445	1.99999	-1.03747e-07	0.0999997	-24.9247	-0.751467	-1.49094	-32.8307	2.21534	-44.3549	-0.00832888	3.34353	3.71154	1.36795	

0.0007	10.4445	1.99999	-2.05495e-07	0.0999994	-24.925	-0.751474	-1.49096	-32.8308	2.21535	-44.3551	-0.0164737	3.34353	3.71155	1.36795	

0.00075	10.4445	1.99998	-4.06564e-07	0.0999988	-24.9255	-0.751489	-1.491	-32.8312	2.21536	-44.3556	-0.0325507	3.34354	3.71156	1.36796	

0.0008	10.4445	1.99996	-8.0356e-07	0.0999977	-24.9267	-0.751517	-1.49107	-32.8318	2.2154	-44.3564	-0.064262	3.34355	3.71158	1.36797	

0.00085	10.4446	1.99992	-1.58681e-06	0.0999954	-24.929	-0.751573	-1.4912	-32.8332	2.21547	-44.3581	-0.126772	3.34357	3.71162	1.36799	

0.0009	10.4448	1.99985	-3.13112e-06	0.099991	-24.9335	-0.751683	-1.49147	-32.8358	2.2156	-44.3615	-0.249927	3.3436	3.7117	1.36804	

0.00095	10.4452	1.9997	-6.17424e-06	0.0999823	-24.9423	-0.7519	-1.492	-32.841	2.21586	-44.3681	-0.492437	3.34367	3.71187	1.36814	

0.001	10.4459	1.9994	-1.21674e-05	0.0999652	-24.9598	-0.752328	-1.49303	-32.8512	2.21638	-44.381	-0.969712	3.34381	3.71219	1.36833	

0.00105	10.4473	1.99882	-2.39631e-05	0.0999315	-24.9942	-0.75317	-1.49507	-32.8713	2.21741	-44.4066	-1.9083	3.34408	3.71283	1.3687	

0.0011	10.4501	1.99767	-4.71581e-05	0.0998656	-25.0619	-0.754825	-1.49906	-32.9109	2.21942	-44.4569	-3.75169	3.34462	3.71408	1.36943	

0.00115	10.4556	1.99543	-9.27007e-05	0.0997368	-25.1952	-0.758078	-1.50687	-32.9887	2.22337	-44.5557	-7.36286	3.34567	3.71654	1.37086	

0.0012	10.4662	1.99101	-0.000181876	0.0994864	-25.4575	-0.764454	-1.5221	-33.1417	2.23108	-44.7496	-14.3982	3.34771	3.72133	1.37366	

0.00125	10.4869	1.98238	-0.000355557	0.0990045	-25.9738	-0.776904	-1.55159	-33.4418	2.24606	-45.1293	-27.9329	3.35168	3.73062	1.37908	

0.0013	10.5261	1.96562	-0.000690367	0.0980914	-26.989	-0.801018	-1.60813	-34.0285	2.27472	-45.8683	-53.3081	3.35925	3.74835	1.38942	

0.00135	10.5985	1.93353	-0.00132315	0.096408	-28.9786	-0.847033	-1.71467	-35.1666	2.32816	-47.2905	-98.1541	3.3733	3.78124	1.4086	

0.0014	10.7249	1.87401	-0.00247322	0.0934532	-32.8313	-0.93229	-1.90921	-37.3341	2.42308	-49.963	-165.822	3.39803	3.83914	1.44239	

0.00145	10.9249	1.77079	-0.00441597	0.0886868	-39.9992	-1.08143	-2.24424	-41.2598	2.57768	-54.7131	-228.063	3.43779	3.93223	1.49669	

0.0015	11.1965	1.61292	-0.00731557	0.081977	-52.068	-1.31523	-2.76056	-47.6264	2.79589	-62.2471	-198.832	3.49296	4.06139	1.57204	

0.00155	11.4889	1.41287	-0.0109688	0.0742539	-68.7019	-1.61304	-3.40658	-56.1323	3.04092	-72.07	-47.2066	3.55385	4.20397	1.65521	

0.0016	11.7113	1.2346	-0.0142229	0.0678117	-84.103	-1.87489	-3.97038	-63.7113	3.234	-80.6918	75.8613	3.60122	4.31487	1.71991	

0.00165	11.8456	1.12157	-0.0162371	0.0638694	-94.435	-2.05011	-4.3465	-68.5327	3.35325	-86.1597	131.592	3.63027	4.38289	1.75958	

0.0017	11.9164	1.0605	-0.0173445	0.0617151	-100.19	-2.14784	-4.55637	-71.1244	3.41685	-89.0971	155.662	3.64571	4.41904	1.78067	

0.00175	11.9518	1.02986	-0.0179011	0.0606323	-103.151	-2.19824	-4.66458	-72.4285	3.44893	-90.5758	166.133	3.65349	4.43724	1.79129	

0.0018	11.9691	1.01505	-0.0181703	0.0601088	-104.615	-2.22309	-4.71812	-73.0671	3.46461	-91.2997	170.984	3.65728	4.44614	1.79648	

0.00185	11.9773	1.00794	-0.0182973	0.0598573	-105.312	-2.23468	-4.74364	-73.3704	3.47204	-91.6435	173.244	3.65908	4.45035	1.79894	

0.0019	11.9812	1.00456	-0.018349	0.0597374	-105.642	-2.23973	-4.75574	-73.5127	3.47556	-91.8049	174.255	3.65993	4.45233	1.8001	

0.00195	11.983	1.00297	-0.0183597	0.0596807	-105.801	-2.24167	-4.76167	-73.5812	3.47727	-91.8827	174.732	3.66034	4.45329	1.80066	

0.002	11.9839	1.00221	-0.0183536	0.059652	-105.877	-2.24202	-4.76468	-73.6143	3.47811	-91.9203	174.963	3.66054	4.45376	1.80093	

0.00205	11.9844	1.00184	-0.0183377	0.0596339	-105.914	-2.24132	-4.7664	-73.6301	3.47853	-91.9382	175.067	3.66063	4.45398	1.80106	

0.0021	11.9846	1.00166	-0.018308	0.0596184	-105.933	-2.23978	-4.76765	-73.638	3.47877	-91.9472	175.111	3.66068	4.45409	1.80112	

0.00215	11.9847	1.00156	-0.0182631	0.0596018	-105.943	-2.23737	-4.76884	-73.6422	3.47894	-91.9522	175.129	3.66071	4.45416	1.80116	

0.0022	11.9848	1.00151	-0.0181999	0.0595819	-105.949	-2.23396	-4.77018	-73.6445	3.47908	-91.955	175.132	3.66073	4.4542	1.80118	

